iter	Passed	Remaining
200	364	1447
201	364	1441
202	365	1434
203	366	1430
204	367	1424
205	369	1422
206	370	1417
207	370	1412
208	371	1406
209	372	1401
210	373	1396
211	374	1392
212	375	1386
213	376	1381
214	377	1377
215	378	1373
216	379	1368
217	381	1369
218	382	1364
219	383	1360
220	384	1355
221	385	1351
222	386	1346
223	387	1341
224	387	1335
225	388	1330
226	389	1325
227	390	1320
228	390	1316
229	391	1311
230	392	1307
231	393	1301
232	393	1296
233	394	1292
234	396	1289
235	397	1286
236	398	1283
237	399	1278
238	400	1274
239	401	1269
240	401	1265
241	402	1261
242	403	1258
243	405	1255
244	405	1251
245	406	1246
246	407	1242
247	408	1237
248	408	1232
249	409	1229
250	410	1225
251	411	1221
252	412	1218
253	413	1214
254	414	1210
255	414	1205
256	416	1203
257	417	1201
258	418	1197
259	419	1193
260	419	1188
261	420	1184
262	421	1180
263	421	1176
264	422	1171
265	423	1167
266	425	1167
267	426	1164
268	427	1161
269	428	1157
270	429	1154
271	429	1150
272	430	1146
273	431	1143
274	432	1139
275	433	1135
276	433	1132
277	434	1128
278	435	1124
279	435	1120
280	436	1116
281	437	1112
282	438	1110
283	439	1107
284	440	1105
285	441	1102
286	442	1099
287	443	1095
288	443	1092
289	444	1088
290	446	1087
291	447	1084
292	448	1081
293	448	1077
294	449	1073
295	449	1070
296	450	1066
297	451	1062
298	452	1061
299	453	1058
300	454	1055
301	455	1053
302	456	1050
303	457	1047
304	458	1043
305	458	1040
306	459	1037
307	460	1034
308	461	1031
309	462	1028
310	462	1025
311	463	1022
312	464	1019
313	465	1016
314	466	1013
315	467	1011
316	468	1008
317	468	1005
318	469	1003
319	470	1000
320	471	997
321	472	993
322	472	990
323	473	987
324	474	985
325	475	982
326	475	979
327	476	976
328	477	973
329	477	969
330	478	966
331	478	963
332	479	960
333	480	958
334	481	956
335	482	953
336	483	951
337	484	949
338	485	946
339	486	943
340	486	940
341	487	938
342	488	935
343	489	933
344	490	931
345	491	928
346	492	926
347	493	924
348	494	921
349	495	919
350	496	917
351	497	915
352	498	913
353	499	911
354	500	908
355	500	906
356	501	903
357	502	900
358	503	898
359	504	896
360	504	893
361	505	891
362	506	888
363	507	885
364	507	883
365	508	880
366	509	879
367	510	877
368	512	875
369	512	873
370	513	871
371	514	869
372	515	866
373	516	864
374	517	862
375	518	860
376	519	858
377	520	855
378	520	853
379	521	850
380	522	848
381	523	846
382	524	844
383	526	844
384	527	842
385	528	840
386	528	837
387	529	835
388	530	833
389	531	831
390	532	829
391	533	827
392	534	824
393	534	822
394	535	820
395	535	817
396	536	815
397	538	813
398	539	812
399	540	810
400	541	808
401	542	806
402	542	804
403	543	801
404	544	799
405	544	797
406	546	795
407	547	793
408	547	791
409	549	790
410	549	788
411	550	785
412	551	783
413	552	782
414	554	781
415	555	779
416	556	777
417	557	775
418	557	773
419	558	771
420	559	769
421	560	767
422	560	765
423	561	762
424	562	760
425	562	758
426	563	756
427	564	753
428	564	751
429	565	749
430	566	748
431	567	746
432	568	744
433	569	742
434	570	741
435	571	739
436	571	736
437	572	734
438	573	732
439	574	730
440	575	729
441	576	727
442	576	725
443	577	723
444	578	721
445	578	719
446	579	717
447	580	715
448	581	713
449	582	712
450	583	710
451	584	708
452	584	706
453	585	704
454	586	702
455	587	700
456	588	698
457	588	696
458	589	694
459	590	693
460	591	691
461	592	689
462	592	687
463	593	685
464	594	683
465	595	682
466	596	680
467	597	679
468	598	677
469	598	675
470	599	673
471	600	671
472	601	669
473	601	667
474	602	665
475	603	664
476	603	662
477	604	660
478	605	658
479	606	656
480	607	655
481	608	653
482	608	651
483	609	650
484	611	648
485	612	647
486	612	645
487	613	643
488	614	641
489	615	640
490	616	638
491	616	636
492	617	635
493	618	633
494	618	631
495	619	629
496	620	627
497	621	626
498	622	624
499	623	623
500	624	621
501	625	620
502	625	618
503	626	616
504	627	614
505	628	613
506	628	611
507	629	609
508	630	608
509	631	606
510	633	606
511	635	605
512	637	605
513	641	606
514	642	605
515	644	604
516	645	603
517	647	602
518	648	600
519	649	599
520	650	598
521	655	599
522	656	598
523	657	597
524	658	596
525	660	594
526	661	593
527	662	592
528	663	591
529	665	589
530	666	588
531	667	587
532	669	586
533	670	585
534	673	585
535	675	584
536	677	584
537	679	583
538	684	585
539	686	584
540	687	583
541	690	583
542	691	582
543	694	582
544	724	604
545	726	604
546	730	604
547	731	603
548	733	602
549	734	600
550	735	599
551	738	599
552	739	598
553	741	596
554	742	595
555	743	593
556	746	593
557	748	592
558	749	591
559	750	589
560	751	588
561	753	586
562	754	585
563	755	583
564	756	582
565	757	580
566	761	581
567	763	580
568	764	579
569	765	577
570	767	576
571	768	574
572	769	573
573	770	572
574	772	570
575	773	569
576	775	568
577	779	568
578	781	568
579	783	567
580	784	565
581	786	565
582	787	563
583	789	562
584	790	560
585	791	558
586	792	557
587	793	555
588	794	554
589	795	552
590	796	551
591	797	549
592	798	547
593	800	547
594	802	545
595	803	544
596	805	543
597	806	542
598	807	540
599	809	539
600	811	538
601	812	537
602	814	536
603	816	535
604	817	533
605	818	532
606	820	530
607	821	529
608	822	528
609	823	526
610	824	525
611	825	523
612	826	522
613	827	520
614	830	519
615	831	518
616	832	516
617	833	515
618	834	513
619	835	512
620	836	510
621	837	509
622	838	507
623	839	505
624	840	504
625	841	502
626	843	501
627	844	500
628	845	498
629	846	497
630	847	495
631	848	494
632	849	492
633	850	490
634	851	489
635	852	487
636	853	486
637	854	484
638	855	483
639	856	481
640	870	487
641	871	486
642	873	485
643	874	483
644	875	481
645	876	480
646	877	478
647	878	477
648	879	475
649	880	474
650	881	472
651	882	471
652	883	469
653	884	467
654	885	466
655	886	464
656	887	463
657	889	462
658	891	461
659	892	459
660	893	457
661	893	456
662	894	454
663	895	453
664	896	451
665	897	450
666	898	448
667	899	446
668	900	445
669	901	443
670	901	442
671	903	441
672	904	439
673	905	437
674	906	436
675	907	434
676	908	433
677	909	431
678	910	430
679	910	428
680	911	427
681	912	425
682	913	424
683	914	422
684	916	421
685	918	420
686	919	418
687	920	417
688	921	415
689	921	414
690	922	412
691	923	411
692	924	409
693	925	408
694	926	406
695	927	405
696	928	403
697	930	402
698	931	401
699	932	399
700	933	398
701	934	396
702	935	395
703	936	393
704	937	392
705	938	390
706	939	389
707	940	387
708	941	386
709	942	384
710	943	383
711	944	382
712	947	381
713	948	379
714	949	378
715	950	377
716	951	375
717	952	374
718	954	372
719	955	371
720	956	370
721	957	368
722	958	367
723	961	366
724	962	365
725	964	363
726	965	362
727	966	361
728	967	359
729	968	358
730	969	356
731	970	355
732	971	354
733	972	352
734	973	351
735	976	350
736	978	349
737	979	347
738	980	346
739	981	344
740	982	343
741	983	341
742	984	340
743	984	338
744	986	337
745	987	336
746	988	334
747	990	333
748	991	332
749	992	330
750	994	329
751	997	329
752	1000	328
753	1002	326
754	1004	325
755	1005	324
756	1006	323
757	1007	321
758	1009	320
759	1010	319
760	1011	317
761	1012	316
762	1013	314
763	1016	313
764	1017	312
765	1021	311
766	1022	310
767	1023	309
768	1025	307
769	1026	306
770	1027	305
771	1027	303
772	1028	302
773	1030	300
774	1030	299
775	1031	297
776	1033	296
777	1034	295
778	1035	293
779	1036	292
780	1037	291
781	1038	289
782	1039	288
783	1040	286
784	1041	285
785	1042	283
786	1043	282
787	1044	281
788	1045	279
789	1049	279
790	1051	277
791	1052	276
792	1053	274
793	1054	273
794	1055	272
795	1056	270
796	1057	269
797	1058	267
798	1059	266
799	1061	265
800	1063	264
801	1065	262
802	1066	261
803	1067	260
804	1068	258
805	1069	257
806	1071	256
807	1072	254
808	1073	253
809	1075	252
810	1076	250
811	1078	249
812	1080	248
813	1081	247
814	1082	245
815	1083	244
816	1084	242
817	1086	241
818	1087	240
819	1088	238
820	1089	237
821	1090	236
822	1091	234
823	1093	233
824	1095	232
825	1098	231
826	1099	230
827	1101	228
828	1102	227
829	1103	226
830	1104	224
831	1105	223
832	1106	221
833	1109	220
834	1110	219
835	1111	217
836	1112	216
837	1113	215
838	1114	213
839	1115	212
840	1116	211
841	1117	209
842	1118	208
843	1119	206
844	1121	205
845	1122	204
846	1123	202
847	1124	201
848	1125	200
849	1126	198
850	1127	197
851	1128	195
852	1129	194
853	1130	193
854	1131	191
855	1132	190
856	1133	189
857	1134	187
858	1136	186
859	1137	185
860	1138	183
861	1139	182
862	1141	181
863	1142	179
864	1143	178
865	1144	177
866	1145	175
867	1146	174
868	1146	172
869	1147	171
870	1148	170
871	1149	168
872	1151	167
873	1152	166
874	1153	164
875	1155	163
876	1156	162
877	1156	160
878	1157	159
879	1158	158
880	1159	156
881	1160	155
882	1161	153
883	1161	152
884	1163	151
885	1164	149
886	1165	148
887	1166	147
888	1167	145
889	1167	144
890	1168	142
891	1169	141
892	1170	140
893	1170	138
894	1171	137
895	1172	136
896	1172	134
897	1173	133
898	1174	131
899	1175	130
900	1175	129
901	1176	127
902	1178	126
903	1179	125
904	1180	123
905	1180	122
906	1181	121
907	1182	119
908	1183	118
909	1184	117
910	1184	115
911	1185	114
912	1186	113
913	1187	111
914	1188	110
915	1189	109
916	1189	107
917	1190	106
918	1191	105
919	1193	103
920	1194	102
921	1195	101
922	1196	99
923	1197	98
924	1197	97
925	1198	95
926	1199	94
927	1200	93
928	1201	91
929	1201	90
930	1202	89
931	1203	87
932	1203	86
933	1204	85
934	1205	83
935	1206	82
936	1207	81
937	1208	79
938	1209	78
939	1210	77
940	1211	75
941	1211	74
942	1212	73
943	1213	71
944	1214	70
945	1214	69
946	1215	68
947	1216	66
948	1217	65
949	1218	64
950	1219	62
951	1219	61
952	1220	60
953	1222	58
954	1223	57
955	1224	56
956	1224	55
957	1225	53
958	1226	52
959	1226	51
960	1227	49
961	1228	48
962	1229	47
963	1229	45
964	1230	44
965	1231	43
966	1232	42
967	1233	40
968	1234	39
969	1234	38
970	1235	36
971	1236	35
972	1237	34
973	1238	33
974	1239	31
975	1240	30
976	1241	29
977	1242	27
978	1243	26
979	1243	25
980	1244	24
981	1245	22
982	1245	21
983	1246	20
984	1247	18
985	1248	17
986	1248	16
987	1249	15
988	1250	13
989	1251	12
990	1252	11
991	1253	10
992	1254	8
993	1254	7
994	1255	6
995	1256	5
996	1257	3
997	1257	2
998	1258	1
999	1259	0
